host_name,host_aliases,host_apps,sources,last_reported_time,host_status,tags,ipaddress
sinalpha2v,['sinalpha2v'],"['vsphere', 'agent', 'iis']","['vsphere', 'agent']",1632488551,True,"{'Datadog': ['application:_alpha', 'casecode:_f4eh', 'department:_tsg', 'owner:_tsginfrastructure', 'tier:_development', 'host:sinalpha2v'], 'vSphere': ['department:tsg', 'location:sin', 'tier:production', 'vcenter_server:sinvc2v.bain.com', 'vsphere_cluster:sin-ntnx-01', 'vsphere_datacenter:singapore', 'vsphere_folder:datacenters', 'vsphere_folder:sin_-_no_backups_required', 'vsphere_folder:vm', 'vsphere_host:sinesxi06.bain.com', 'vsphere_type:vm']}",10.34.237.34
wokalpha2v,['wokalpha2v'],"['vsphere', 'agent', 'sqlserver']","['vsphere', 'agent']",1632488922,True,"{'Datadog': ['application:_alpha', 'casecode:_f4eh', 'department:_tsg', 'owner:_tsginfrastructure', 'tier:_development', 'host:wokalpha2v'], 'vSphere': ['department:tsg', 'location:wok', 'tier:production', 'vcenter_server:wokvc1v.bain.com', 'vsphere_cluster:wok_prod_1', 'vsphere_datacenter:woking', 'vsphere_folder:datacenters', 'vsphere_folder:vm', 'vsphere_folder:wok_-_no_backups_required', 'vsphere_host:wokesxi19.bain.com', 'vsphere_type:vm']}",10.30.237.34
i-0dbb335128d9c3ed1,"['ip-10-91-30-244.bain.com', 'i-0dbb335128d9c3ed1']","['ntp', 'aws', 'agent', 'consul']","['aws', 'agent']",1632489440,True,"{'Datadog': ['host:i-0dbb335128d9c3ed1'], 'Amazon Web Services': ['account:baintsg', 'application:vaultenterprise', 'availability-zone:us-east-1c', 'aws_account:379084356790', 'aws_autoscaling_groupname:aws-vault-dev-dr-consul-kv-0.0.2', 'casecode:f4eh', 'cloud_provider:aws', 'cluster-version:0.0.2', 'department:tsg', 'environment-name:aws-vault-dev-dr-consul-kv', 'iam_profile:aws-vault-dev-dr-vault20210902174829027400000002', 'image:ami-0ae51efabaf0590d7', 'instance-type:m5.large', 'kernel:none', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:aws-vault-dev-dr-consul-kv-0.0.2', 'owner:tsginfraops', 'region:us-east-1', 'role:consulenterprisenode', 'security-group:sg-080c81719061aac46', 'tier:development', 'ttl:0']}",10.91.30.244
i-0b075abc804a43dbe,"['ip-10-91-24-159.bain.com', 'i-0b075abc804a43dbe']","['agent', 'ntp', 'aws']","['aws', 'agent']",1632488336,True,"{'Datadog': ['host:i-0b075abc804a43dbe'], 'Amazon Web Services': ['account:baintsg', 'application:pricing', 'autojoinname:nomad-pricing-servers', 'availability-zone:us-east-1a', 'aws_account:379084356790', 'aws_autoscaling_groupname:nomad-pricing-server20200914232623071800000001', 'casecode:y8bk', 'cloud_provider:aws', 'department:tsg', 'iam_profile:nomad-pricing-server20200914215203709400000003', 'image:ami-0fdb4a9b49db1a1c1', 'instance-type:t3.large', 'kernel:none', 'managedby:ansible', 'monitoredby:datadog', 'name:nomad-pricing-server', 'owner:tsgcloudops', 'region:us-east-1', 'security-group:sg-07a5241217bb6de0e', 'tier:production']}",10.91.24.159
i-0211a4020ce82431d,"['ip-10-91-30-61.bain.com', 'i-0211a4020ce82431d']","['agent', 'ntp', 'aws', 'consul']","['aws', 'agent']",1632488664,True,"{'Datadog': ['host:i-0211a4020ce82431d'], 'Amazon Web Services': ['account:baintsg', 'application:vaultenterprise', 'availability-zone:us-east-1c', 'aws_account:379084356790', 'aws_autoscaling_groupname:aws-amer-vault-dr-consul-kv-0.0.3', 'casecode:f4eh', 'cloud_provider:aws', 'cluster-version:0.0.3', 'department:tsg', 'environment-name:aws-amer-vault-dr-consul-kv', 'iam_profile:aws-amer-vault-dr-vault20210823185933325000000002', 'image:ami-0ae51efabaf0590d7', 'instance-type:m5.large', 'kernel:none', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:aws-amer-vault-dr-consul-kv-0.0.3', 'owner:tsginfraops', 'region:us-east-1', 'role:consulenterprisenode', 'security-group:sg-03c20b5c7e01d74f9', 'tier:production', 'ttl:0']}",10.91.30.61
wtralpha27v,['wtralpha27v'],"['vsphere', 'agent']","['vsphere', 'agent']",1632487446,True,"{'Datadog': ['application:alpha', 'casecode:f4eh', 'department:tsg', 'owner:tsgenterpriseinfra', 'tier:alpha', 'host:wtralpha27v'], 'vSphere': ['department:tsg', 'location:wtr', 'tier:production', 'vcenter_server:corpvc1.bain.com', 'vsphere_cluster:wtr_test_a', 'vsphere_datacenter:watertown', 'vsphere_folder:datacenters', 'vsphere_folder:vm', 'vsphere_folder:wtr_-_no_backups_required', 'vsphere_host:wtresxi34.bain.com', 'vsphere_type:vm']}",10.28.20.168
amer-dr-7668099c-consul000007,"['amer-dr-7668099c-consul000007', '60cb256e-eb55-4627-baa2-bda9d2ef8438']","['agent', 'azure', 'consul']","['azure', 'agent']",1632488677,True,"{'Azure': ['application:vaultenterprise', 'availability-zone:eastus2-1', 'casecode:f4eh', 'client_id:6dea91c6-520e-4aaf-8a2d-211a021e674b', 'cloud_provider:azure', 'cluster-version:0.0.2', 'department:tsg', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:amer-dr-7668099c-consul-servers_7', 'operating_system:linux', 'owner:tsginfraops', 'region:eastus2', 'resource_group:amer-dr-7668099c-consul-cluster', 'role:consulenterprisenode', 'size:standard_d2s_v3', 'subscription_id:c3781c31-d5af-4c19-bc28-96f2f5e07068', 'subscription_name:bain-central', 'tenant_name:eb120e12-65f1-477a-be8c-fe4f65926724', 'tier:production', 'ttl:0'], 'Datadog': ['host:amer-dr-7668099c-consul000007']}",10.216.0.29
WTRUTIL1v,['WTRUTIL1v'],['agent'],['agent'],1632488552,True,{'Datadog': ['host:WTRUTIL1v']},10.28.9.147
i-0f7c5546098712534,"['ip-10-91-25-19.bain.com', 'i-0f7c5546098712534']","['aws', 'agent', 'vault', 'ntp']","['aws', 'agent']",1632489713,True,"{'Datadog': ['host:i-0f7c5546098712534'], 'Amazon Web Services': ['account:baintsg', 'application:vaultenterprise', 'availability-zone:us-east-1b', 'aws_account:379084356790', 'aws_autoscaling_groupname:aws-amer-vault-vault-0.0.20', 'casecode:f4eh', 'cloud_provider:aws', 'cluster-version:0.0.20', 'department:tsg', 'iam_profile:aws-amer-vault-vault20210416195526610200000002', 'image:ami-0ae51efabaf0590d7', 'instance-type:m5.large', 'kernel:none', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:aws-amer-vault-vault-0.0.20', 'owner:tsginfraops', 'region:us-east-1', 'role:vaultenterprisenode', 'security-group:sg-0fd26c1f9fa82bee6', 'tier:production', 'ttl:0']}",10.91.25.19
amer-e14ddc4d-vault000004,"['amer-e14ddc4d-vault000004', '417e237c-9f68-4974-b917-e42763a81752']","['agent', 'azure']","['azure', 'agent']",1632489646,True,"{'Azure': ['application:vaultenterprise', 'availability-zone:eastus2-2', 'casecode:f4eh', 'client_id:6dea91c6-520e-4aaf-8a2d-211a021e674b', 'cloud_provider:azure', 'cluster-version:0.0.2', 'department:tsg', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:amer-e14ddc4d-vault-servers_4', 'operating_system:linux', 'owner:tsginfraops', 'region:eastus2', 'resource_group:amer-e14ddc4d-vault-cluster', 'role:vaultenterprisenode', 'size:standard_d2s_v3', 'subscription_id:c3781c31-d5af-4c19-bc28-96f2f5e07068', 'subscription_name:bain-central', 'tenant_name:eb120e12-65f1-477a-be8c-fe4f65926724', 'tier:production', 'ttl:0'], 'Datadog': ['host:amer-e14ddc4d-vault000004']}",10.216.0.16
i-09ce6b1f48e6e6189,"['ip-10-91-30-5.bain.com', 'i-09ce6b1f48e6e6189']","['agent', 'ntp', 'aws', 'vault']","['aws', 'agent']",1632488680,True,"{'Datadog': ['host:i-09ce6b1f48e6e6189'], 'Amazon Web Services': ['account:baintsg', 'application:vaultenterprise', 'availability-zone:us-east-1c', 'aws_account:379084356790', 'aws_autoscaling_groupname:aws-amer-vault-vault-0.0.20', 'casecode:f4eh', 'cloud_provider:aws', 'cluster-version:0.0.20', 'department:tsg', 'iam_profile:aws-amer-vault-vault20210416195526610200000002', 'image:ami-0ae51efabaf0590d7', 'instance-type:m5.large', 'kernel:none', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:aws-amer-vault-vault-0.0.20', 'owner:tsginfraops', 'region:us-east-1', 'role:vaultenterprisenode', 'security-group:sg-0fd26c1f9fa82bee6', 'tier:production', 'ttl:0']}",10.91.30.5
i-0c870bdf455c10e47,"['ip-10-91-25-151.bain.com', 'i-0c870bdf455c10e47']","['ntp', 'agent', 'aws']","['aws', 'agent']",1632488336,True,"{'Datadog': ['host:i-0c870bdf455c10e47'], 'Amazon Web Services': ['account:baintsg', 'application:pricing', 'autojoinname:nomad-pricing-servers', 'availability-zone:us-east-1b', 'aws_account:379084356790', 'aws_autoscaling_groupname:nomad-pricing-server20200914232623071800000001', 'casecode:y8bk', 'cloud_provider:aws', 'department:tsg', 'iam_profile:nomad-pricing-server20200914215203709400000003', 'image:ami-0fdb4a9b49db1a1c1', 'instance-type:t3.large', 'kernel:none', 'managedby:ansible', 'monitoredby:datadog', 'name:nomad-pricing-server', 'owner:tsgcloudops', 'region:us-east-1', 'security-group:sg-07a5241217bb6de0e', 'tier:production']}",10.91.25.151
saotst1v,['saotst1v'],"['vsphere', 'agent']","['vsphere', 'agent']",1632489221,True,"{'Datadog': ['host:saotst1v'], 'vSphere': ['department:tsg', 'location:sao', 'tier:test', 'vcenter_server:corpvc1.bain.com', 'vsphere_cluster:sao', 'vsphere_datacenter:local_office', 'vsphere_folder:datacenters', 'vsphere_folder:sao', 'vsphere_folder:vm', 'vsphere_folder:vms', 'vsphere_host:saoesxi03.bain.com', 'vsphere_type:vm']}",10.144.4.14
amer-dr-7668099c-consul00000B,"['bac868d5-7e1b-4cbb-bf7c-70e1d82dd104', 'amer-dr-7668099c-consul00000B']","['agent', 'consul', 'azure']","['azure', 'agent']",1632489559,True,"{'Azure': ['application:vaultenterprise', 'availability-zone:eastus2-2', 'casecode:f4eh', 'client_id:6dea91c6-520e-4aaf-8a2d-211a021e674b', 'cloud_provider:azure', 'cluster-version:0.0.2', 'department:tsg', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:amer-dr-7668099c-consul-servers_11', 'operating_system:linux', 'owner:tsginfraops', 'region:eastus2', 'resource_group:amer-dr-7668099c-consul-cluster', 'role:consulenterprisenode', 'size:standard_d2s_v3', 'subscription_id:c3781c31-d5af-4c19-bc28-96f2f5e07068', 'subscription_name:bain-central', 'tenant_name:eb120e12-65f1-477a-be8c-fe4f65926724', 'tier:production', 'ttl:0'], 'Datadog': ['host:amer-dr-7668099c-consul00000B']}",10.216.0.27
amer-dr-7668099c-consul000009,"['e707f09e-0478-4b0a-85e2-483d2ca37883', 'amer-dr-7668099c-consul000009']","['agent', 'consul', 'azure']","['azure', 'agent']",1632489651,True,"{'Azure': ['application:vaultenterprise', 'availability-zone:eastus2-3', 'casecode:f4eh', 'client_id:6dea91c6-520e-4aaf-8a2d-211a021e674b', 'cloud_provider:azure', 'cluster-version:0.0.2', 'department:tsg', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:amer-dr-7668099c-consul-servers_9', 'operating_system:linux', 'owner:tsginfraops', 'region:eastus2', 'resource_group:amer-dr-7668099c-consul-cluster', 'role:consulenterprisenode', 'size:standard_d2s_v3', 'subscription_id:c3781c31-d5af-4c19-bc28-96f2f5e07068', 'subscription_name:bain-central', 'tenant_name:eb120e12-65f1-477a-be8c-fe4f65926724', 'tier:production', 'ttl:0'], 'Datadog': ['host:amer-dr-7668099c-consul000009']}",10.216.0.31
zteualpha4,"['zteualpha4', '344c7e19-d447-493e-92d3-45b53f5f0e47']","['agent', 'sqlserver', 'azure']","['azure', 'agent']",1632488783,True,"{'Azure': ['availability-zone:eastus2', 'client_id:6dea91c6-520e-4aaf-8a2d-211a021e674b', 'cloud_provider:azure', 'name:zteualpha4', 'operating_system:windows', 'region:eastus2', 'resource_group:tsg-primary-alphaservers', 'size:standard_b2ms', 'subscription_id:64d4b08c-d5dd-4f58-8a6f-b89defac56bd', 'subscription_name:tsg-primary', 'tenant_name:eb120e12-65f1-477a-be8c-fe4f65926724'], 'Datadog': ['host:zteualpha4'], 'Users': ['application:_alpha']}",10.193.105.4
ngts-oh-dev1.ngtableau.com,"['ngts-oh-dev1.ngtableau.com', 'ip-10-95-232-185.ngtableau.com', 'i-068046fe6f451c1cc']","['agent', 'cwagent', 'aws', 'ntp']","['aws', 'agent']",1632488555,True,"{'Datadog': ['application:tableau_server', 'casecode:l7cv', 'department:nextgen', 'owner:tsgcloudops', 'tier:development', 'host:ngts-oh-dev1.ngtableau.com'], 'Amazon Web Services': ['account:nextgentableau', 'application:tableau_server', 'availability-zone:us-east-2a', 'aws_account:213567095658', 'backupretention:14', 'casecode:l7cv', 'cloud_provider:aws', 'department:nextgen', 'iam_profile:tableau-dev-instance-profile', 'image:ami-0ca41ad04d849d517', 'instance-type:r5.4xlarge', 'kernel:none', 'managedwith:terraform', 'name:tableau-dev', 'owner:tsgcloudops', 'region:us-east-2', 'security-group:sg-03cbc2487f8498dda', 'security-group:sg-092462d3fa9d27132', 'tier:development']}",10.95.232.185
amer-dr-7668099c-consul000006,"['amer-dr-7668099c-consul000006', '79f1b94f-4f7f-4b5d-83f8-d72919964d1a']","['agent', 'consul', 'azure']","['azure', 'agent']",1632489659,True,"{'Azure': ['application:vaultenterprise', 'availability-zone:eastus2-3', 'casecode:f4eh', 'client_id:6dea91c6-520e-4aaf-8a2d-211a021e674b', 'cloud_provider:azure', 'cluster-version:0.0.2', 'department:tsg', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:amer-dr-7668099c-consul-servers_6', 'operating_system:linux', 'owner:tsginfraops', 'region:eastus2', 'resource_group:amer-dr-7668099c-consul-cluster', 'role:consulenterprisenode', 'size:standard_d2s_v3', 'subscription_id:c3781c31-d5af-4c19-bc28-96f2f5e07068', 'subscription_name:bain-central', 'tenant_name:eb120e12-65f1-477a-be8c-fe4f65926724', 'tier:production', 'ttl:0'], 'Datadog': ['host:amer-dr-7668099c-consul000006']}",10.216.0.28
i-0208a394d89419c81,"['ip-10-92-25-105.bain.com', 'i-0208a394d89419c81']","['ntp', 'agent', 'consul', 'aws']","['aws', 'agent']",1632489647,True,"{'Datadog': ['host:i-0208a394d89419c81'], 'Amazon Web Services': ['account:baintsg', 'application:vaultenterprise', 'availability-zone:eu-central-1b', 'aws_account:379084356790', 'aws_autoscaling_groupname:aws-emea-vault-dr-consul-kv-0.0.2', 'casecode:f4eh', 'cloud_provider:aws', 'cluster-version:0.0.2', 'department:tsg', 'environment-name:aws-emea-vault-dr-consul-kv', 'iam_profile:aws-emea-vault-dr-vault20210824195154222600000002', 'image:ami-06efd16eaf92f0c17', 'instance-type:m5.large', 'kernel:none', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:aws-emea-vault-dr-consul-kv-0.0.2', 'owner:tsginfraops', 'region:eu-central-1', 'role:consulenterprisenode', 'security-group:sg-0adf3b5cf7030d7fc', 'tier:production', 'ttl:0']}",10.92.25.105
saoacs1v,['saoacs1v'],"['vsphere', 'agent']","['vsphere', 'agent']",1632487585,True,"{'Datadog': ['host:saoacs1v'], 'vSphere': ['department:tsg', 'location:sao', 'tier:production', 'vcenter_server:corpvc1.bain.com', 'vsphere_cluster:sao', 'vsphere_datacenter:local_office', 'vsphere_folder:datacenters', 'vsphere_folder:sao', 'vsphere_folder:vm', 'vsphere_folder:vms', 'vsphere_host:saoesxi03.bain.com', 'vsphere_type:vm']}",10.144.4.36
amer-e14ddc4d-vault000003,"['amer-e14ddc4d-vault000003', '12ba6178-9fba-4b84-9219-5d2bba11ca52']","['agent', 'azure']","['azure', 'agent']",1632489646,True,"{'Azure': ['application:vaultenterprise', 'availability-zone:eastus2-1', 'casecode:f4eh', 'client_id:6dea91c6-520e-4aaf-8a2d-211a021e674b', 'cloud_provider:azure', 'cluster-version:0.0.2', 'department:tsg', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:amer-e14ddc4d-vault-servers_3', 'operating_system:linux', 'owner:tsginfraops', 'region:eastus2', 'resource_group:amer-e14ddc4d-vault-cluster', 'role:vaultenterprisenode', 'size:standard_d2s_v3', 'subscription_id:c3781c31-d5af-4c19-bc28-96f2f5e07068', 'subscription_name:bain-central', 'tenant_name:eb120e12-65f1-477a-be8c-fe4f65926724', 'tier:production', 'ttl:0'], 'Datadog': ['host:amer-e14ddc4d-vault000003']}",10.216.0.12
i-0ee1cace685b9ff28,"['ip-10-92-24-142.bain.com', 'i-0ee1cace685b9ff28']","['agent', 'aws', 'consul', 'ntp']","['aws', 'agent']",1632488783,True,"{'Datadog': ['host:i-0ee1cace685b9ff28'], 'Amazon Web Services': ['account:baintsg', 'application:vaultenterprise', 'availability-zone:eu-central-1a', 'aws_account:379084356790', 'aws_autoscaling_groupname:aws-emea-vault-consul-kv-0.0.2', 'casecode:f4eh', 'cloud_provider:aws', 'cluster-version:0.0.2', 'department:tsg', 'environment-name:aws-emea-vault-consul-kv', 'iam_profile:aws-emea-vault-vault20210824195007039900000002', 'image:ami-06efd16eaf92f0c17', 'instance-type:m5.large', 'kernel:none', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:aws-emea-vault-consul-kv-0.0.2', 'owner:tsginfraops', 'region:eu-central-1', 'role:consulenterprisenode', 'security-group:sg-03cf3f76efb5b2097', 'tier:production', 'ttl:0']}",10.92.24.142
amer-e14ddc4d-consul000006,"['e6f6f8f8-934c-4021-b8e4-3001e79318ae', 'amer-e14ddc4d-consul000006']","['agent', 'azure', 'consul']","['azure', 'agent']",1632488043,True,"{'Azure': ['application:vaultenterprise', 'availability-zone:eastus2-3', 'casecode:f4eh', 'client_id:6dea91c6-520e-4aaf-8a2d-211a021e674b', 'cloud_provider:azure', 'cluster-version:0.0.2', 'department:tsg', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:amer-e14ddc4d-consul-servers_6', 'operating_system:linux', 'owner:tsginfraops', 'region:eastus2', 'resource_group:amer-e14ddc4d-consul-cluster', 'role:consulenterprisenode', 'size:standard_d2s_v3', 'subscription_id:c3781c31-d5af-4c19-bc28-96f2f5e07068', 'subscription_name:bain-central', 'tenant_name:eb120e12-65f1-477a-be8c-fe4f65926724', 'tier:production', 'ttl:0'], 'Datadog': ['host:amer-e14ddc4d-consul000006']}",10.216.0.47
i-097f529cee405ccdb,"['ip-10-95-8-151.ec2.internal', 'i-097f529cee405ccdb']","['ntp', 'aws', 'agent']","['aws', 'agent']",1632488670,True,"{'Datadog': ['host:i-097f529cee405ccdb'], 'Amazon Web Services': ['account:baintsgsandbox', 'availability-zone:us-east-1a', 'aws_account:568120154955', 'aws_autoscaling_groupname:consul-dev2020051217143908060000000b', 'cloud_provider:aws', 'consul-dev:consul-dev', 'department:tsg', 'iam_profile:consul-dev20200512171426621900000005', 'image:ami-0517c02bf1cfa47de', 'instance-type:t3.large', 'kernel:none', 'name:consul-dev', 'region:us-east-1', 'security-group:sg-01c57fde17400c55f']}",10.95.8.151
amer-dr-7668099c-consul000008,"['eee4067a-826c-48cd-bf8a-26c6c60fbb79', 'amer-dr-7668099c-consul000008']","['agent', 'consul', 'azure']","['azure', 'agent']",1632488596,True,"{'Azure': ['application:vaultenterprise', 'availability-zone:eastus2-2', 'casecode:f4eh', 'client_id:6dea91c6-520e-4aaf-8a2d-211a021e674b', 'cloud_provider:azure', 'cluster-version:0.0.2', 'department:tsg', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:amer-dr-7668099c-consul-servers_8', 'operating_system:linux', 'owner:tsginfraops', 'region:eastus2', 'resource_group:amer-dr-7668099c-consul-cluster', 'role:consulenterprisenode', 'size:standard_d2s_v3', 'subscription_id:c3781c31-d5af-4c19-bc28-96f2f5e07068', 'subscription_name:bain-central', 'tenant_name:eb120e12-65f1-477a-be8c-fe4f65926724', 'tier:production', 'ttl:0'], 'Datadog': ['host:amer-dr-7668099c-consul000008']}",10.216.0.30
amer-e14ddc4d-consul00000A,"['amer-e14ddc4d-consul00000A', '8cac20f9-c040-4853-82ec-8560759270c2']","['agent', 'consul', 'azure']","['azure', 'agent']",1632489651,True,"{'Azure': ['application:vaultenterprise', 'availability-zone:eastus2-1', 'casecode:f4eh', 'client_id:6dea91c6-520e-4aaf-8a2d-211a021e674b', 'cloud_provider:azure', 'cluster-version:0.0.2', 'department:tsg', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:amer-e14ddc4d-consul-servers_10', 'operating_system:linux', 'owner:tsginfraops', 'region:eastus2', 'resource_group:amer-e14ddc4d-consul-cluster', 'role:consulenterprisenode', 'size:standard_d2s_v3', 'subscription_id:c3781c31-d5af-4c19-bc28-96f2f5e07068', 'subscription_name:bain-central', 'tenant_name:eb120e12-65f1-477a-be8c-fe4f65926724', 'tier:production', 'ttl:0'], 'Datadog': ['host:amer-e14ddc4d-consul00000A']}",10.216.0.45
amer-e14ddc4d-consul000009,"['amer-e14ddc4d-consul000009', '1de9e9c2-0784-4ada-8d16-b60ccddbf27c']","['agent', 'azure', 'consul']","['azure', 'agent']",1632488724,True,"{'Azure': ['application:vaultenterprise', 'availability-zone:eastus2-3', 'casecode:f4eh', 'client_id:6dea91c6-520e-4aaf-8a2d-211a021e674b', 'cloud_provider:azure', 'cluster-version:0.0.2', 'department:tsg', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:amer-e14ddc4d-consul-servers_9', 'operating_system:linux', 'owner:tsginfraops', 'region:eastus2', 'resource_group:amer-e14ddc4d-consul-cluster', 'role:consulenterprisenode', 'size:standard_d2s_v3', 'subscription_id:c3781c31-d5af-4c19-bc28-96f2f5e07068', 'subscription_name:bain-central', 'tenant_name:eb120e12-65f1-477a-be8c-fe4f65926724', 'tier:production', 'ttl:0'], 'Datadog': ['host:amer-e14ddc4d-consul000009']}",10.216.0.50
amer-e14ddc4d-consul00000B,"['amer-e14ddc4d-consul00000B', '7f46d8e4-3dad-4b13-9f01-a0eda5fda078']","['azure', 'agent', 'consul']","['azure', 'agent']",1632488710,True,"{'Azure': ['application:vaultenterprise', 'availability-zone:eastus2-2', 'casecode:f4eh', 'client_id:6dea91c6-520e-4aaf-8a2d-211a021e674b', 'cloud_provider:azure', 'cluster-version:0.0.2', 'department:tsg', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:amer-e14ddc4d-consul-servers_11', 'operating_system:linux', 'owner:tsginfraops', 'region:eastus2', 'resource_group:amer-e14ddc4d-consul-cluster', 'role:consulenterprisenode', 'size:standard_d2s_v3', 'subscription_id:c3781c31-d5af-4c19-bc28-96f2f5e07068', 'subscription_name:bain-central', 'tenant_name:eb120e12-65f1-477a-be8c-fe4f65926724', 'tier:production', 'ttl:0'], 'Datadog': ['host:amer-e14ddc4d-consul00000B']}",10.216.0.46
i-0abdaa822d1ff1128,['i-0abdaa822d1ff1128'],"['aws', 'agent']","['aws', 'agent']",1632488575,True,"{'Datadog': ['host:i-0abdaa822d1ff1128'], 'Amazon Web Services': ['account:aagdatasciencesandbox', 'application:bastion', 'availability-zone:eu-central-1b', 'aws_account:221900162625', 'aws_autoscaling_groupname:primary-vpc-bastion-bastionautoscalinggroup-1uy4ozbdzlgql', 'aws_cloudformation_logical-id:bastionautoscalinggroup', 'aws_cloudformation_stack-id:arn:aws:cloudformation:eu-central-1:221900162625:stack/primary-vpc-bastion/d57177f0-1ed6-11eb-b5c9-0222edd00d60', 'aws_cloudformation_stack-name:primary-vpc-bastion', 'casecode:adc3', 'cloud_provider:aws', 'department:aag', 'iam_profile:ec2-bastion-eu-central-1-vpc-042b324cc6833140a-role', 'image:ami-0bce5830d6dc51013', 'instance-type:t2.nano', 'kernel:none', 'name:linuxbastion', 'owner:tsgcloudops', 'region:eu-central-1', 'security-group:sg-091788b7e48b52fef', 'security-group:sg-0edaa594aa0417f49', 'tier:development']}",
i-04ff065e28de3ba8d,['i-04ff065e28de3ba8d'],"['aws', 'agent']","['aws', 'agent']",1632488575,True,"{'Datadog': ['host:i-04ff065e28de3ba8d'], 'Amazon Web Services': ['account:aagdatasciencesandbox', 'application:bastion', 'availability-zone:us-east-1b', 'aws_account:221900162625', 'aws_autoscaling_groupname:primary-vpc-bastion-bastionautoscalinggroup-8qs8u3f579a4', 'aws_cloudformation_logical-id:bastionautoscalinggroup', 'aws_cloudformation_stack-id:arn:aws:cloudformation:us-east-1:221900162625:stack/primary-vpc-bastion/22c672c0-22e8-11eb-bede-12605691f9eb', 'aws_cloudformation_stack-name:primary-vpc-bastion', 'casecode:adc3', 'cloud_provider:aws', 'department:aag', 'iam_profile:ec2-bastion-us-east-1-vpc-0c80232ae73a5b6f7-role', 'image:ami-02747653e9e8bcc93', 'instance-type:t2.nano', 'kernel:none', 'name:linuxbastion', 'owner:tsgcloudops', 'region:us-east-1', 'security-group:sg-089f51d2a8d02b665', 'security-group:sg-0baf52ec1d7be2de2', 'tier:production']}",
i-0413a3e0b83b33cb6,"['ip-10-95-9-138.ec2.internal', 'i-0413a3e0b83b33cb6']","['ntp', 'agent', 'aws']","['aws', 'agent']",1632488635,True,"{'Datadog': ['host:i-0413a3e0b83b33cb6'], 'Amazon Web Services': ['account:baintsgsandbox', 'availability-zone:us-east-1b', 'aws_account:568120154955', 'aws_autoscaling_groupname:consul-dev2020051217143908060000000b', 'cloud_provider:aws', 'consul-dev:consul-dev', 'department:tsg', 'iam_profile:consul-dev20200512171426621900000005', 'image:ami-0517c02bf1cfa47de', 'instance-type:t3.large', 'kernel:none', 'name:consul-dev', 'region:us-east-1', 'security-group:sg-01c57fde17400c55f']}",10.95.9.138
i-038419d2432562ef0,"['ip-10-91-24-228.bain.com', 'i-038419d2432562ef0']","['agent', 'ntp', 'aws', 'consul']","['aws', 'agent']",1632488716,True,"{'Datadog': ['host:i-038419d2432562ef0'], 'Amazon Web Services': ['account:baintsg', 'application:vaultenterprise', 'availability-zone:us-east-1a', 'aws_account:379084356790', 'aws_autoscaling_groupname:aws-amer-vault-dr-consul-kv-0.0.3', 'casecode:f4eh', 'cloud_provider:aws', 'cluster-version:0.0.3', 'department:tsg', 'environment-name:aws-amer-vault-dr-consul-kv', 'iam_profile:aws-amer-vault-dr-vault20210823185933325000000002', 'image:ami-0ae51efabaf0590d7', 'instance-type:m5.large', 'kernel:none', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:aws-amer-vault-dr-consul-kv-0.0.3', 'owner:tsginfraops', 'region:us-east-1', 'role:consulenterprisenode', 'security-group:sg-03c20b5c7e01d74f9', 'tier:production', 'ttl:0']}",10.91.24.228
i-0ac3f04d7cf6bbac6,"['ip-10-91-24-32.bain.com', 'i-0ac3f04d7cf6bbac6']","['aws', 'agent', 'ntp', 'consul']","['aws', 'agent']",1632488671,True,"{'Datadog': ['host:i-0ac3f04d7cf6bbac6'], 'Amazon Web Services': ['account:baintsg', 'application:vaultenterprise', 'availability-zone:us-east-1a', 'aws_account:379084356790', 'aws_autoscaling_groupname:aws-amer-vault-consul-kv-0.0.21', 'casecode:f4eh', 'cloud_provider:aws', 'cluster-version:0.0.21', 'department:tsg', 'environment-name:aws-amer-vault-consul-kv', 'iam_profile:aws-amer-vault-vault20210416195526610200000002', 'image:ami-0ae51efabaf0590d7', 'instance-type:m5.large', 'kernel:none', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:aws-amer-vault-consul-kv-0.0.21', 'owner:tsginfraops', 'region:us-east-1', 'role:consulenterprisenode', 'security-group:sg-0fd26c1f9fa82bee6', 'tier:production', 'ttl:0']}",10.91.24.32
